Date;ICCO_USD
21/01/2021;2,430.51
20/01/2021;2,442.33
19/01/2021;2,459.86
18/01/2021;2,430.36
15/01/2021;2,402.04
14/01/2021;2,374.50
13/01/2021;2,363.99
12/01/2021;2,362.87
11/01/2021;2,334.85
08/01/2021;2,356.44
07/01/2021;2,379.76
06/01/2021;2,342.41
05/01/2021;2,370.61
04/01/2021;2,394.80
31/12/2020;2,424.35
30/12/2020;2,412.99
29/12/2020;2,334.66
28/12/2020;2,355.17
24/12/2020;2,385.85
23/12/2020;2,380.05
22/12/2020;2,356.05
21/12/2020;2,377.20
18/12/2020;2,353.03
17/12/2020;2,388.75
16/12/2020;2,354.16
15/12/2020;2,376.94
14/12/2020;2,408.27
11/12/2020;2,431.69
10/12/2020;2,392.46
09/12/2020;2,391.55
08/12/2020;2,419.28
07/12/2020;2,459.81
04/12/2020;2,479.59
03/12/2020;2,481.97
02/12/2020;2,475.45
01/12/2020;2,519.16
30/11/2020;2,546.33
27/11/2020;2,554.35
26/11/2020;2,546.50
25/11/2020;2,521.32
24/11/2020;2,568.24
23/11/2020;2,550.99
20/11/2020;2,534.50
19/11/2020;2,477.76
18/11/2020;2,419.64
17/11/2020;2,361.72
16/11/2020;2,284.54
13/11/2020;2,238.41
12/11/2020;2,225.24
11/11/2020;2,240.06
10/11/2020;2,241.99
09/11/2020;2,261.50
06/11/2020;2,222.07
05/11/2020;2,206.03
04/11/2020;2,181.54
03/11/2020;2,189.40
02/11/2020;2,149.76
30/10/2020;2,191.11
29/10/2020;2,217.02
28/10/2020;2,248.14
27/10/2020;2,320.01
26/10/2020;2,357.73
23/10/2020;2,341.56
22/10/2020;2,334.39
21/10/2020;2,298.16
20/10/2020;2,257.71
19/10/2020;2,291.07
16/10/2020;2,237.28
15/10/2020;2,219.25
14/10/2020;2,253.98
13/10/2020;2,252.01
12/10/2020;2,301.13
09/10/2020;2,302.02
08/10/2020;2,335.29
07/10/2020;2,319.92
06/10/2020;2,304.58
05/10/2020;2,332.36
02/10/2020;2,339.27
01/10/2020;2,371.24
30/09/2020;2,404.12
29/09/2020;2,445.11
28/09/2020;2,452.92
25/09/2020;2,436.65
24/09/2020;2,465.21
23/09/2020;2,449.76
22/09/2020;2,425.75
21/09/2020;2,488.94
18/09/2020;2,500.92
17/09/2020;2,474.73
16/09/2020;2,471.43
15/09/2020;2,523.69
14/09/2020;2,417.52
11/09/2020;2,410.94
10/09/2020;2,396.27
09/09/2020;2,423.63
08/09/2020;2,423.25
07/09/2020;2,448.59
04/09/2020;2,472.89
03/09/2020;2,494.46
02/09/2020;2,533.82
01/09/2020;2,513.11
31/08/2020;2,497.06
28/08/2020;2,467.85
27/08/2020;2,399.06
26/08/2020;2,338.20
25/08/2020;2,353.23
24/08/2020;2,326.95
21/08/2020;2,280.50
20/08/2020;2,284.82
19/08/2020;2,320.47
18/08/2020;2,322.64
17/08/2020;2,316.87
14/08/2020;2,332.05
13/08/2020;2,348.79
12/08/2020;2,336.78
11/08/2020;2,327.03
10/08/2020;2,359.57
07/08/2020;2,380.77
06/08/2020;2,357.02
05/08/2020;2,335.39
04/08/2020;2,314.06
03/08/2020;2,323.08
31/07/2020;2,271.08
30/07/2020;2,222.58
29/07/2020;2,208.12
28/07/2020;2,159.19
27/07/2020;2,149.04
24/07/2020;2,105.90
23/07/2020;2,090.36
22/07/2020;2,089.03
21/07/2020;2,073.18
20/07/2020;2,099.23
17/07/2020;2,061.39
16/07/2020;2,061.61
15/07/2020;2,045.65
14/07/2020;2,063.82
13/07/2020;2,088.47
10/07/2020;2,085.34
09/07/2020;2,062.89
08/07/2020;2,034.09
07/07/2020;2,070.42
06/07/2020;2,070.92
03/07/2020;2,071.17
02/07/2020;2,083.84
01/07/2020;2,072.76
30/06/2020;2,081.06
29/06/2020;2,121.64
26/06/2020;2,143.27
25/06/2020;2,233.09
24/06/2020;2,170.44
23/06/2020;2,162.25
22/06/2020;2,153.28
19/06/2020;2,131.38
18/06/2020;2,150.54
17/06/2020;2,130.19
16/06/2020;2,170.82
15/06/2020;2,165.55
12/06/2020;2,273.80
11/06/2020;2,260.91
10/06/2020;2,337.08
09/06/2020;2,353.60
08/06/2020;2,313.44
05/06/2020;2,320.98
04/06/2020;2,319.97
03/06/2020;2,328.87
02/06/2020;2,321.30
01/06/2020;2,380.39
29/05/2020;2,342.35
28/05/2020;2,332.04
27/05/2020;2,276.48
26/05/2020;2,312.53
22/05/2020;2,311.93
21/05/2020;2,276.54
20/05/2020;2,316.00
19/05/2020;2,334.43
18/05/2020;2,314.82
15/05/2020;2,308.88
14/05/2020;2,318.44
13/05/2020;2,346.57
12/05/2020;2,307.77
11/05/2020;2,367.64
08/05/2020;2,331.16
07/05/2020;2,309.69
06/05/2020;2,291.61
05/05/2020;2,300.43
04/05/2020;2,306.89
01/05/2020;2,313.56
30/04/2020;2,344.45
29/04/2020;2,318.25
28/04/2020;2,287.50
27/04/2020;2,272.96
24/04/2020;2,266.85
23/04/2020;2,292.88
22/04/2020;2,290.22
21/04/2020;2,242.92
20/04/2020;2,276.21
17/04/2020;2,282.56
16/04/2020;2,202.34
15/04/2020;2,182.36
14/04/2020;2,252.20
13/04/2020;2,255.37
09/04/2020;2,280.84
08/04/2020;2,324.77
07/04/2020;2,340.48
06/04/2020;2,312.19
03/04/2020;2,218.47
02/04/2020;2,230.01
01/04/2020;2,201.24
31/03/2020;2,218.36
30/03/2020;2,225.95
27/03/2020;2,181.13
26/03/2020;2,187.93
25/03/2020;2,202.85
24/03/2020;2,208.10
23/03/2020;2,171.28
20/03/2020;2,170.93
19/03/2020;2,154.84
18/03/2020;2,187.50
17/03/2020;2,254.92
16/03/2020;2,277.33
13/03/2020;2,344.65
12/03/2020;2,417.13
11/03/2020;2,527.89
10/03/2020;2,505.10
09/03/2020;2,483.63
06/03/2020;2,506.54
05/03/2020;2,525.54
04/03/2020;2,547.85
03/03/2020;2,573.13
02/03/2020;2,573.80
28/02/2020;2,584.87
27/02/2020;2,649.01
26/02/2020;2,647.02
25/02/2020;2,702.36
24/02/2020;2,703.24
21/02/2020;2,738.51
20/02/2020;2,746.26
19/02/2020;2,736.03
18/02/2020;2,729.49
17/02/2020;2,751.06
14/02/2020;2,752.58
13/02/2020;2,778.37
12/02/2020;2,744.50
11/02/2020;2,767.99
10/02/2020;2,766.34
07/02/2020;2,765.33
06/02/2020;2,744.71
05/02/2020;2,701.48
04/02/2020;2,662.49
03/02/2020;2,652.57
31/01/2020;2,699.56
30/01/2020;2,727.70
29/01/2020;2,654.65
28/01/2020;2,632.45
27/01/2020;2,666.29
24/01/2020;2,659.36
23/01/2020;2,687.24
22/01/2020;2,724.47
21/01/2020;2,739.57
20/01/2020;2,716.43
17/01/2020;2,717.75
16/01/2020;2,646.61
15/01/2020;2,636.71
14/01/2020;2,599.68
13/01/2020;2,529.24
10/01/2020;2,527.10
09/01/2020;2,486.18
08/01/2020;2,436.50
07/01/2020;2,458.80
06/01/2020;2,418.64
03/01/2020;2,449.55
02/01/2020;2,453.13
31/12/2019;2,457.47
30/12/2019;2,402.65
27/12/2019;2,422.43
26/12/2019;2,360.64
24/12/2019;2,355.31
23/12/2019;2,351.12
20/12/2019;2,349.64
19/12/2019;2,368.23
18/12/2019;2,419.92
17/12/2019;2,445.36
16/12/2019;2,462.36
13/12/2019;2,492.66
12/12/2019;2,449.21
11/12/2019;2,483.41
10/12/2019;2,502.69
09/12/2019;2,513.66
06/12/2019;2,528.04
05/12/2019;2,512.85
04/12/2019;2,489.62
03/12/2019;2,495.56
