Data,Valor
19.04.2022,2.580
18.04.2022,2.578
14.04.2022,2.636
13.04.2022,2.627
12.04.2022,2.634
11.04.2022,2.667
08.04.2022,2.674
07.04.2022,2.627
06.04.2022,2.605
05.04.2022,2.589
04.04.2022,2.613
01.04.2022,2.641
31.03.2022,2.687
30.03.2022,2.686
29.03.2022,2.673
28.03.2022,2.636
25.03.2022,2.600
24.03.2022,2.616
23.03.2022,2.656
22.03.2022,2.614
21.03.2022,2.552
18.03.2022,2.568
17.03.2022,2.536
16.03.2022,2.532
15.03.2022,2.522
14.03.2022,2.611
11.03.2022,2.620
10.03.2022,2.683
09.03.2022,2.663
08.03.2022,2.636
07.03.2022,2.636
04.03.2022,2.620
03.03.2022,2.562
02.03.2022,2.529
01.03.2022,2.521
28.02.2022,2.529
25.02.2022,2.614
24.02.2022,2.616
23.02.2022,2.664
22.02.2022,2.656
18.02.2022,2.640
17.02.2022,2.655
16.02.2022,2.671
15.02.2022,2.722
14.02.2022,2.731
11.02.2022,2.811
10.02.2022,2.833
09.02.2022,2.801
08.02.2022,2.725
07.02.2022,2.685
04.02.2022,2.724
03.02.2022,2.690
02.02.2022,2.672
01.02.2022,2.660
31.01.2022,2.576
28.01.2022,2.546
27.01.2022,2.506
26.01.2022,2.560
25.01.2022,2.554
24.01.2022,2.550
21.01.2022,2.629
20.01.2022,2.702
19.01.2022,2.702
18.01.2022,2.679
14.01.2022,2.698
13.01.2022,2.649
12.01.2022,2.596
11.01.2022,2.617
10.01.2022,2.556
07.01.2022,2.550
06.01.2022,2.466
05.01.2022,2.501
04.01.2022,2.502
03.01.2022,2.537
31.12.2021,2.553
30.12.2021,2.586
29.12.2021,2.546
28.12.2021,2.517
27.12.2021,2.492
23.12.2021,2.505
22.12.2021,2.497
21.12.2021,2.487
20.12.2021,2.456
17.12.2021,2.529
16.12.2021,2.569
15.12.2021,2.547
14.12.2021,2.504
13.12.2021,2.532
10.12.2021,2.466
09.12.2021,2.451
08.12.2021,2.470
07.12.2021,2.485
06.12.2021,2.460
03.12.2021,2.467
02.12.2021,2.453
01.12.2021,2.352
30.11.2021,2.346
29.11.2021,2.378
26.11.2021,2.396
24.11.2021,2.512
23.11.2021,2.568
22.11.2021,2.588
19.11.2021,2.583
18.11.2021,2.589
17.11.2021,2.568
16.11.2021,2.553
15.11.2021,2.532
12.11.2021,2.525
11.11.2021,2.537
10.11.2021,2.514
09.11.2021,2.464
08.11.2021,2.480
05.11.2021,2.448
04.11.2021,2.482
03.11.2021,2.473
02.11.2021,2.507
01.11.2021,2.602
29.10.2021,2.580
28.10.2021,2.611
27.10.2021,2.634
26.10.2021,2.618
25.10.2021,2.648
22.10.2021,2.629
21.10.2021,2.601
20.10.2021,2.561
19.10.2021,2.611
18.10.2021,2.653
15.10.2021,2.653
14.10.2021,2.632
13.10.2021,2.648
12.10.2021,2.718
11.10.2021,2.725
08.10.2021,2.789
07.10.2021,2.765
06.10.2021,2.754
05.10.2021,2.792
04.10.2021,2.784
01.10.2021,2.734
30.09.2021,2.677
29.09.2021,2.616
28.09.2021,2.585
27.09.2021,2.576
24.09.2021,2.620
23.09.2021,2.642
22.09.2021,2.678
21.09.2021,2.635
20.09.2021,2.622
17.09.2021,2.688
16.09.2021,2.680
15.09.2021,2.663
14.09.2021,2.656
13.09.2021,2.637
10.09.2021,2.603
09.09.2021,2.673
08.09.2021,2.687
07.09.2021,2.704
03.09.2021,2.654
02.09.2021,2.611
01.09.2021,2.538
31.08.2021,2.540
30.08.2021,2.597
27.08.2021,2.582
26.08.2021,2.623
25.08.2021,2.612
24.08.2021,2.570
23.08.2021,2.554
20.08.2021,2.567
19.08.2021,2.628
18.08.2021,2.673
17.08.2021,2.648
16.08.2021,2.607
13.08.2021,2.620
12.08.2021,2.582
11.08.2021,2.580
10.08.2021,2.536
09.08.2021,2.480
06.08.2021,2.474
05.08.2021,2.457
04.08.2021,2.445
03.08.2021,2.474
02.08.2021,2.421
30.07.2021,2.422
29.07.2021,2.484
28.07.2021,2.471
27.07.2021,2.438
26.07.2021,2.428
23.07.2021,2.364
22.07.2021,2.361
21.07.2021,2.317
20.07.2021,2.310
19.07.2021,2.298
16.07.2021,2.371
15.07.2021,2.369
14.07.2021,2.402
13.07.2021,2.399
12.07.2021,2.430
09.07.2021,2.347
08.07.2021,2.295
07.07.2021,2.296
06.07.2021,2.298
02.07.2021,2.319
01.07.2021,2.354
30.06.2021,2.389
29.06.2021,2.390
28.06.2021,2.380
25.06.2021,2.380
24.06.2021,2.344
23.06.2021,2.369
22.06.2021,2.396
21.06.2021,2.378
18.06.2021,2.372
17.06.2021,2.381
16.06.2021,2.422
15.06.2021,2.428
14.06.2021,2.447
11.06.2021,2.402
10.06.2021,2.433
09.06.2021,2.392
08.06.2021,2.418
07.06.2021,2.404
04.06.2021,2.452
03.06.2021,2.455
02.06.2021,2.466
01.06.2021,2.467
28.05.2021,2.456
27.05.2021,2.468
26.05.2021,2.459
25.05.2021,2.427
24.05.2021,2.437
21.05.2021,2.499
20.05.2021,2.485
19.05.2021,2.516
18.05.2021,2.549
17.05.2021,2.578
14.05.2021,2.514
13.05.2021,2.502
12.05.2021,2.517
11.05.2021,2.466
10.05.2021,2.514
07.05.2021,2.463
06.05.2021,2.413
05.05.2021,2.395
04.05.2021,2.324
03.05.2021,2.369
30.04.2021,2.382
29.04.2021,2.499
28.04.2021,2.472
27.04.2021,2.478
26.04.2021,2.487
23.04.2021,2.450
22.04.2021,2.442
21.04.2021,2.439
20.04.2021,2.419
19.04.2021,2.492
16.04.2021,2.464
15.04.2021,2.463
14.04.2021,2.459
13.04.2021,2.441
12.04.2021,2.401
09.04.2021,2.387
08.04.2021,2.384
07.04.2021,2.411
06.04.2021,2.425
05.04.2021,2.364
01.04.2021,2.416
31.03.2021,2.385
30.03.2021,2.384
29.03.2021,2.461
26.03.2021,2.479
25.03.2021,2.473
24.03.2021,2.453
23.03.2021,2.464
22.03.2021,2.515
19.03.2021,2.506
18.03.2021,2.552
17.03.2021,2.532
16.03.2021,2.526
15.03.2021,2.530
12.03.2021,2.570
11.03.2021,2.593
10.03.2021,2.573
09.03.2021,2.553
08.03.2021,2.533
05.03.2021,2.546
04.03.2021,2.625
03.03.2021,2.657
02.03.2021,2.645
01.03.2021,2.639
26.02.2021,2.604
25.02.2021,2.608
24.02.2021,2.553
23.02.2021,2.499
22.02.2021,2.490
19.02.2021,2.443
18.02.2021,2.391
17.02.2021,2.374
16.02.2021,2.428
12.02.2021,2.433
11.02.2021,2.437
10.02.2021,2.494
09.02.2021,2.430
08.02.2021,2.445
05.02.2021,2.472
04.02.2021,2.450
03.02.2021,2.454
02.02.2021,2.499
01.02.2021,2.485
29.01.2021,2.474
28.01.2021,2.457
27.01.2021,2.447
26.01.2021,2.491
25.01.2021,2.465
22.01.2021,2.486
21.01.2021,2.508
20.01.2021,2.524
19.01.2021,2.541
15.01.2021,2.482
14.01.2021,2.455
13.01.2021,2.457
12.01.2021,2.448
11.01.2021,2.430
08.01.2021,2.460
07.01.2021,2.488
06.01.2021,2.443
05.01.2021,2.469
04.01.2021,2.507
31.12.2020,2.535
30.12.2020,2.524
29.12.2020,2.451
28.12.2020,2.492
24.12.2020,2.522
23.12.2020,2.489
22.12.2020,2.470
21.12.2020,2.497
18.12.2020,2.472
17.12.2020,2.496
16.12.2020,2.465
15.12.2020,2.541
14.12.2020,2.589
11.12.2020,2.622
10.12.2020,2.567
09.12.2020,2.549
08.12.2020,2.575
07.12.2020,2.636
04.12.2020,2.654
03.12.2020,2.651
02.12.2020,2.638
01.12.2020,2.691
30.11.2020,2.739
27.11.2020,2.766
25.11.2020,2.724
24.11.2020,2.785
23.11.2020,2.753
20.11.2020,2.712
19.11.2020,2.665
18.11.2020,2.580
17.11.2020,2.517
16.11.2020,2.435
13.11.2020,2.365
12.11.2020,2.356
11.11.2020,2.374
10.11.2020,2.357
09.11.2020,2.391
06.11.2020,2.338
05.11.2020,2.318
04.11.2020,2.291
03.11.2020,2.308
02.11.2020,2.264
30.10.2020,2.305
29.10.2020,2.338
28.10.2020,2.378
27.10.2020,2.455
26.10.2020,2.492
23.10.2020,2.479
22.10.2020,2.471
21.10.2020,2.426
20.10.2020,2.382
19.10.2020,2.420
16.10.2020,2.359
15.10.2020,2.341
14.10.2020,2.383
13.10.2020,2.377
12.10.2020,2.431
09.10.2020,2.422
08.10.2020,2.459
07.10.2020,2.441
06.10.2020,2.428
05.10.2020,2.449
02.10.2020,2.461
01.10.2020,2.487
30.09.2020,2.527
29.09.2020,2.562
28.09.2020,2.565
25.09.2020,2.545
24.09.2020,2.575
23.09.2020,2.561
22.09.2020,2.541
21.09.2020,2.611
18.09.2020,2.623
17.09.2020,2.585
16.09.2020,2.589
15.09.2020,2.694
14.09.2020,2.556
11.09.2020,2.548
10.09.2020,2.537
09.09.2020,2.562
08.09.2020,2.555
04.09.2020,2.595
03.09.2020,2.634
02.09.2020,2.681
01.09.2020,2.666
31.08.2020,2.654
28.08.2020,2.623
27.08.2020,2.539
26.08.2020,2.476
25.08.2020,2.487
24.08.2020,2.459
21.08.2020,2.409
20.08.2020,2.400
19.08.2020,2.460
18.08.2020,2.445
17.08.2020,2.429
14.08.2020,2.454
13.08.2020,2.480
12.08.2020,2.465
11.08.2020,2.448
10.08.2020,2.488
07.08.2020,2.523
06.08.2020,2.494
05.08.2020,2.474
04.08.2020,2.447
03.08.2020,2.461
31.07.2020,2.399
30.07.2020,2.345
29.07.2020,2.335
28.07.2020,2.281
27.07.2020,2.279
24.07.2020,2.222
23.07.2020,2.201
22.07.2020,2.205
21.07.2020,2.178
20.07.2020,2.212
17.07.2020,2.169
16.07.2020,2.161
15.07.2020,2.135
14.07.2020,2.155
13.07.2020,2.193
10.07.2020,2.160
09.07.2020,2.149
08.07.2020,2.100
07.07.2020,2.148
06.07.2020,2.152
02.07.2020,2.179
01.07.2020,2.169
30.06.2020,2.186
29.06.2020,2.238
26.06.2020,2.277
25.06.2020,2.386
24.06.2020,2.306
23.06.2020,2.290
22.06.2020,2.270
19.06.2020,2.252
18.06.2020,2.270
17.06.2020,2.230
16.06.2020,2.269
15.06.2020,2.266
12.06.2020,2.319
11.06.2020,2.291
10.06.2020,2.394
09.06.2020,2.419
08.06.2020,2.373
05.06.2020,2.384
04.06.2020,2.377
03.06.2020,2.378
02.06.2020,2.382
01.06.2020,2.455
29.05.2020,2.408
28.05.2020,2.387
27.05.2020,2.321
26.05.2020,2.355
22.05.2020,2.352
21.05.2020,2.315
20.05.2020,2.376
19.05.2020,2.406
18.05.2020,2.379
15.05.2020,2.375
14.05.2020,2.387
13.05.2020,2.456
12.05.2020,2.402
11.05.2020,2.463
08.05.2020,2.400
07.05.2020,2.381
06.05.2020,2.363
05.05.2020,2.378
04.05.2020,2.387
01.05.2020,2.402
30.04.2020,2.414
29.04.2020,2.377
28.04.2020,2.342
27.04.2020,2.330
24.04.2020,2.323
23.04.2020,2.363
22.04.2020,2.375
21.04.2020,2.318
20.04.2020,2.358
17.04.2020,2.368
16.04.2020,2.258
15.04.2020,2.229
14.04.2020,2.288
13.04.2020,2.272
09.04.2020,2.311
08.04.2020,2.372
07.04.2020,2.392
06.04.2020,2.348
03.04.2020,2.260
02.04.2020,2.278
01.04.2020,2.237
31.03.2020,2.259
30.03.2020,2.271
27.03.2020,2.269
26.03.2020,2.262
25.03.2020,2.258
24.03.2020,2.267
23.03.2020,2.242
20.03.2020,2.231
19.03.2020,2.229
18.03.2020,2.274
17.03.2020,2.313
16.03.2020,2.331
13.03.2020,2.425
12.03.2020,2.495
11.03.2020,2.625
10.03.2020,2.577
09.03.2020,2.545
06.03.2020,2.561
05.03.2020,2.597
04.03.2020,2.626
03.03.2020,2.653
02.03.2020,2.661
28.02.2020,2.672
27.02.2020,2.745
26.02.2020,2.739
25.02.2020,2.806
24.02.2020,2.801
21.02.2020,2.843
20.02.2020,2.860
19.02.2020,2.847
18.02.2020,2.846
14.02.2020,2.886
13.02.2020,2.895
12.02.2020,2.868
11.02.2020,2.876
10.02.2020,2.878
07.02.2020,2.898
06.02.2020,2.865
05.02.2020,2.815
04.02.2020,2.781
03.02.2020,2.756
31.01.2020,2.801
30.01.2020,2.830
29.01.2020,2.754
28.01.2020,2.730
27.01.2020,2.759
24.01.2020,2.758
23.01.2020,2.790
22.01.2020,2.821
21.01.2020,2.836
17.01.2020,2.817
16.01.2020,2.736
15.01.2020,2.711
14.01.2020,2.671
13.01.2020,2.602
10.01.2020,2.602
09.01.2020,2.560
08.01.2020,2.510
07.01.2020,2.541
06.01.2020,2.497
03.01.2020,2.529
02.01.2020,2.539
31.12.2019,2.541
30.12.2019,2.469
27.12.2019,2.500
26.12.2019,2.411
24.12.2019,2.450
23.12.2019,2.436
20.12.2019,2.432
19.12.2019,2.456
18.12.2019,2.521
17.12.2019,2.550
16.12.2019,2.566
13.12.2019,2.572
12.12.2019,2.521
11.12.2019,2.568
10.12.2019,2.585
09.12.2019,2.601
06.12.2019,2.607
05.12.2019,2.580
04.12.2019,2.547
03.12.2019,2.565
02.12.2019,2.544
